ablation,model,train_size,vocab_size,ngrams,macro_f1_fever_test
train_size,logreg,1000,,,0.3361
train_size,linear_svm,1000,,,0.323
train_size,logreg,5000,,,0.4478
train_size,linear_svm,5000,,,0.4381
train_size,logreg,20000,,,0.5107
train_size,linear_svm,20000,,,0.5032
train_size,logreg,60000,,,0.5348
train_size,linear_svm,60000,,,0.5304
train_size,logreg,227943,,,0.5493
train_size,linear_svm,227943,,,0.5419
vocab,linear_svm,227943,5000,unigram,0.5013
vocab,linear_svm,227943,20000,unigram,0.5042
vocab,linear_svm,227943,50000,unigram,0.4967
vocab,linear_svm,227943,100000,unigram,0.4967
vocab,linear_svm,227943,5000,uni+bigram,0.5203
vocab,linear_svm,227943,20000,uni+bigram,0.5287
vocab,linear_svm,227943,50000,uni+bigram,0.5383
vocab,linear_svm,227943,100000,uni+bigram,0.5419
