model,perturbation,n,acc,ci_low,ci_high
distilbert_full,none,497,0.9879,0.9779,0.996
distilbert_full,number_change,230,0.3261,0.2651,0.3826
distilbert_full,negation,229,0.2795,0.2227,0.3362
distilbert_full,entity_swap,38,0.0263,0.0,0.0789
distilbert_full,evidence_mismatch,495,0.4182,0.3758,0.4626
distilbert,none,497,0.9819,0.9698,0.992
distilbert,number_change,230,0.2652,0.2087,0.3217
distilbert,negation,229,0.3057,0.2489,0.3624
distilbert,entity_swap,38,0.1053,0.0263,0.2105
distilbert,evidence_mismatch,495,0.4485,0.404,0.4929
xgboost,none,497,0.4145,0.3702,0.4608
xgboost,number_change,230,0.1087,0.0696,0.1522
xgboost,negation,229,0.4323,0.3668,0.4934
xgboost,entity_swap,38,0.0789,0.0,0.1842
xgboost,evidence_mismatch,495,0.3677,0.3253,0.4101
lexical_baseline,none,497,1.0,1.0,1.0
lexical_baseline,number_change,230,0.0043,0.0,0.013
lexical_baseline,negation,229,0.0,0.0,0.0
lexical_baseline,entity_swap,38,0.0263,0.0,0.0789
lexical_baseline,evidence_mismatch,495,1.0,1.0,1.0
