model,subset,n,label_drift_rows,macro_f1,accuracy,claim_text_match_rate
bilstm,full,3367,63,0.151,0.1978,0.9994
bilstm,fits_256,1279,63,0.1442,0.1822,0.9994
bilstm,exceeds_256,2088,63,0.1561,0.2074,0.9994
claim_only_logreg,full,3367,63,0.2584,0.2611,0.9994
claim_only_logreg,fits_256,1279,63,0.265,0.2666,0.9994
claim_only_logreg,exceeds_256,2088,63,0.2555,0.2577,0.9994
distilbert,full,3367,63,0.3366,0.3808,0.9994
distilbert,fits_256,1279,63,0.2904,0.2971,0.9994
distilbert,exceeds_256,2088,63,0.3533,0.432,0.9994
distilbert_full,full,3367,63,0.3127,0.3799,0.9994
distilbert_full,fits_256,1279,63,0.2736,0.2901,0.9994
distilbert_full,exceeds_256,2088,63,0.3212,0.4349,0.9994
lexical_baseline,full,3367,63,0.3675,0.3713,0.9994
lexical_baseline,fits_256,1279,63,0.2831,0.2877,0.9994
lexical_baseline,exceeds_256,2088,63,0.4044,0.4224,0.9994
linear_svm,full,3367,63,0.2009,0.2379,0.9994
linear_svm,fits_256,1279,63,0.1737,0.2064,0.9994
linear_svm,exceeds_256,2088,63,0.2203,0.2572,0.9994
logreg,full,3367,63,0.2049,0.2412,0.9994
logreg,fits_256,1279,63,0.1776,0.2119,0.9994
logreg,exceeds_256,2088,63,0.2239,0.2591,0.9994
naive_bayes,full,3367,63,0.1076,0.1841,0.9994
naive_bayes,fits_256,1279,63,0.1052,0.1658,0.9994
naive_bayes,exceeds_256,2088,63,0.109,0.1954,0.9994
random_forest,full,3367,63,0.2439,0.2625,0.9994
random_forest,fits_256,1279,63,0.2548,0.258,0.9994
random_forest,exceeds_256,2088,63,0.2328,0.2653,0.9994
voting_ensemble,full,3367,63,0.1806,0.2242,0.9994
voting_ensemble,fits_256,1279,63,0.152,0.1916,0.9994
voting_ensemble,exceeds_256,2088,63,0.2005,0.2443,0.9994
voting_ensemble_calsvm,full,3367,63,0.185,0.2278,0.9994
voting_ensemble_calsvm,fits_256,1279,63,0.1569,0.1947,0.9994
voting_ensemble_calsvm,exceeds_256,2088,63,0.205,0.2481,0.9994
xgboost,full,3367,63,0.364,0.4271,0.9994
xgboost,fits_256,1279,63,0.3761,0.4003,0.9994
xgboost,exceeds_256,2088,63,0.3333,0.4435,0.9994
