model,display_name,fever_test,finfact_test,sec_synthetic
lexical_baseline,Lexical overlap baseline,0.4101,0.3675,0.5585
claim_only_logreg,Logistic Regression (claim-only TF-IDF),0.556,0.2584,0.358
naive_bayes,Multinomial Naive Bayes (TF-IDF),0.4402,0.1076,0.1794
logreg,Logistic Regression (TF-IDF),0.5493,0.2049,0.2275
linear_svm,Linear SVM (TF-IDF),0.5419,0.2009,0.234
random_forest,Random Forest (TF-IDF + SVD-300),0.3718,0.2439,0.2121
xgboost,XGBoost (TF-IDF),0.5358,0.364,0.346
voting_ensemble,Soft voting (NB + LogReg + XGBoost),0.5523,0.1806,0.2103
voting_ensemble_calsvm,Soft voting (NB + LogReg + XGBoost + calibrated SVM),0.5511,0.185,0.2141
bilstm,BiLSTM + GloVe-100,0.5863,0.151,0.2212
distilbert,"DistilBERT (fine-tuned, CPU 40k subset)",0.8028,0.3366,0.541
